id,property_type,building_name,address,access_1,access_2,access_3,age,building_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,posting_date,actual_cost
0,賃貸アパート,地下鉄桜通線 桜山駅 2階建 築8年,愛知県名古屋市瑞穂区駒場町４,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩9分,地下鉄鶴舞線/御器所駅 歩18分,築8年,2階建,1階,53500.0,4000.0,0.0,53500.0,1K,20.13,https://suumo.jp/chintai/jnc_000062206827/?bc=100366530374,2024-02-25,58614.583333333336
1,賃貸アパート,地下鉄桜通線 桜山駅 2階建 築8年,愛知県名古屋市瑞穂区駒場町４,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩9分,地下鉄鶴舞線/御器所駅 歩18分,築8年,2階建,1階,53500.0,4000.0,0.0,0.0,1K,20.13,https://suumo.jp/chintai/jnc_000088370773/?bc=100300619682,2024-02-25,57500.0
2,賃貸マンション,桜山カーザ,愛知県名古屋市瑞穂区駒場町１,地下鉄桜通線/桜山駅 歩2分,地下鉄桜通線/瑞穂区役所駅 歩11分,地下鉄鶴舞線/御器所駅 歩19分,築5年,7階建,7階,121000.0,9000.0,121000.0,242000.0,2LDK,56.43,https://suumo.jp/chintai/jnc_000088708104/?bc=100367758680,2024-02-25,137562.5
3,賃貸マンション,桜山カーザ,愛知県名古屋市瑞穂区駒場町１,地下鉄桜通線/桜山駅 歩2分,地下鉄桜通線/瑞穂区役所駅 歩11分,地下鉄鶴舞線/御器所駅 歩19分,築5年,7階建,3階,122000.0,9000.0,122000.0,244000.0,2LDK,56.43,https://suumo.jp/chintai/jnc_000088708103/?bc=100367751202,2024-02-25,138625.0
4,賃貸マンション,フォレシティ桜山,愛知県名古屋市瑞穂区駒場町４,地下鉄桜通線/桜山駅 歩4分,地下鉄桜通線/瑞穂区役所駅 歩12分,地下鉄桜通線/御器所駅 歩21分,築17年,5階建,1階,54000.0,6000.0,54000.0,0.0,1K,24.02,https://suumo.jp/chintai/jnc_000063803625/?bc=100279424056,2024-02-25,61125.0
5,賃貸マンション,地下鉄桜通線 桜山駅 5階建 築17年,愛知県名古屋市瑞穂区駒場町４,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩9分,地下鉄鶴舞線/御器所駅 歩15分,築17年,5階建,1階,54000.0,6000.0,54000.0,0.0,1K,24.02,https://suumo.jp/chintai/jnc_000063897723/?bc=100368068465,2024-02-25,61125.0
6,賃貸マンション,ヴィルクレア桜山,愛知県名古屋市瑞穂区桜見町１,地下鉄桜通線/桜山駅 歩1分,地下鉄桜通線/御器所駅 歩13分,地下鉄桜通線/瑞穂区役所駅 歩10分,築2年,14階建,9階,74000.0,8000.0,74000.0,74000.0,1K,29.97,https://suumo.jp/chintai/jnc_000088683433/?bc=100367738659,2024-02-25,85083.33333333333
7,賃貸マンション,ヴィルクレア桜山,愛知県名古屋市瑞穂区桜見町１,地下鉄桜通線/桜山駅 歩1分,地下鉄桜通線/御器所駅 歩13分,地下鉄桜通線/瑞穂区役所駅 歩10分,築2年,14階建,13階,155000.0,8000.0,155000.0,155000.0,2LDK,60.0,https://suumo.jp/chintai/jnc_000088465047/?bc=100359099139,2024-02-25,169458.33333333334
8,賃貸マンション,ヴィルクレア桜山,愛知県名古屋市瑞穂区桜見町１,地下鉄桜通線/桜山駅 歩1分,地下鉄桜通線/御器所駅 歩13分,地下鉄桜通線/瑞穂区役所駅 歩10分,築2年,14階建,13階,160000.0,8000.0,160000.0,160000.0,2LDK,60.0,https://suumo.jp/chintai/jnc_000087306700/?bc=100359897048,2024-02-25,174666.66666666666
9,賃貸マンション,地下鉄桜通線 桜山駅 9階建 新築,愛知県名古屋市昭和区広見町４,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩16分,地下鉄鶴舞線/御器所駅 歩17分,新築,9階建,3階,70000.0,7000.0,70000.0,70000.0,1K,27.72,https://suumo.jp/chintai/jnc_000086084031/?bc=100359038253,2024-02-25,79916.66666666667
10,賃貸マンション,地下鉄桜通線 桜山駅 9階建 新築,愛知県名古屋市昭和区広見町４,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩16分,地下鉄鶴舞線/御器所駅 歩17分,新築,9階建,4階,71000.0,7000.0,71000.0,71000.0,1K,27.72,https://suumo.jp/chintai/jnc_000086084033/?bc=100359038237,2024-02-25,80958.33333333333
11,賃貸マンション,地下鉄桜通線 桜山駅 9階建 新築,愛知県名古屋市昭和区広見町４,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩16分,地下鉄鶴舞線/御器所駅 歩17分,新築,9階建,5階,72000.0,7000.0,72000.0,72000.0,1K,27.72,https://suumo.jp/chintai/jnc_000086084035/?bc=100359038256,2024-02-25,82000.0
12,賃貸マンション,地下鉄桜通線 桜山駅 9階建 新築,愛知県名古屋市昭和区広見町４,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩16分,地下鉄鶴舞線/御器所駅 歩17分,新築,9階建,5階,73000.0,7000.0,73000.0,73000.0,1K,27.72,https://suumo.jp/chintai/jnc_000087857401/?bc=100358411803,2024-02-25,83041.66666666667
13,賃貸マンション,地下鉄桜通線 桜山駅 9階建 新築,愛知県名古屋市昭和区広見町４,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩16分,地下鉄鶴舞線/御器所駅 歩17分,新築,9階建,6階,74000.0,7000.0,74000.0,74000.0,1K,27.72,https://suumo.jp/chintai/jnc_000087857402/?bc=100358412180,2024-02-25,84083.33333333333
14,賃貸マンション,地下鉄桜通線 桜山駅 9階建 新築,愛知県名古屋市昭和区広見町４,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩16分,地下鉄鶴舞線/御器所駅 歩17分,新築,9階建,8階,76000.0,7000.0,76000.0,76000.0,1K,27.72,https://suumo.jp/chintai/jnc_000087857405/?bc=100358362502,2024-02-25,86166.66666666667
