,property_type,building_name,address,access_1,access_2,access_3,age,building_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,posting_date
0,賃貸アパート,地下鉄桜通線 桜山駅 2階建 築8年,愛知県名古屋市昭和区滝子通４,地下鉄桜通線/桜山駅 歩7分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/荒畑駅 歩15分,築8年,2階建,1階,5.3万円,4000円,-,5.3万円,1SK,20.9m2,https://suumo.jp/chintai/jnc_000088214111/?bc=100364663771,2024-02-19
1,賃貸マンション,フロイデ桜山,愛知県名古屋市昭和区菊園町４,地下鉄桜通線/桜山駅 歩11分,地下鉄鶴舞線/川名駅 歩17分,地下鉄桜通線/瑞穂区役所駅 歩19分,築6年,3階建,1階,8万円,4500円,-,8万円,1LDK,46.84m2,https://suumo.jp/chintai/jnc_000088573366/?bc=100366935535,2024-02-19
2,賃貸マンション,アヴニール桜山,愛知県名古屋市昭和区桜山町５,地下鉄桜通線/桜山駅 歩2分,地下鉄鶴舞線/御器所駅 歩12分,地下鉄鶴舞線/荒畑駅 歩18分,築4年,8階建,3階,13.1万円,9000円,-,19.65万円,2LDK,68.67m2,https://suumo.jp/chintai/jnc_000088573368/?bc=100366935537,2024-02-19
3,賃貸マンション,Ezサイト,愛知県名古屋市昭和区大和町１,地下鉄桜通線/桜山駅 歩6分,地下鉄鶴舞線/御器所駅 歩8分,地下鉄鶴舞線/荒畑駅 歩16分,築22年,3階建,3階,17万円,-,34万円,17万円,3SLDK,77.96m2,https://suumo.jp/chintai/jnc_000076484377/?bc=100311228173,2024-02-19
4,賃貸アパート,地下鉄桜通線 桜山駅 2階建 築8年,愛知県名古屋市瑞穂区駒場町４,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩9分,地下鉄鶴舞線/御器所駅 歩18分,築8年,2階建,1階,5.35万円,4000円,-,5.35万円,1K,20.13m2,https://suumo.jp/chintai/jnc_000088370773/?bc=100300619682,2024-02-19
5,賃貸アパート,地下鉄桜通線 桜山駅 2階建 築8年,愛知県名古屋市瑞穂区駒場町４,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩9分,地下鉄鶴舞線/御器所駅 歩18分,築8年,2階建,1階,5.35万円,4000円,-,5.35万円,1K,20.13m2,https://suumo.jp/chintai/jnc_000062206827/?bc=100366530374,2024-02-19
6,賃貸マンション,ミズホフジヒロビルディング,愛知県名古屋市瑞穂区瑞穂通１,地下鉄桜通線/桜山駅 歩3分,地下鉄鶴舞線/御器所駅 歩19分,地下鉄桜通線/瑞穂区役所駅 歩7分,築10年,7階建,3階,7.6万円,8000円,-,-,1LDK,38.61m2,https://suumo.jp/chintai/jnc_000088243858/?bc=100364923125,2024-02-19
7,賃貸マンション,ミズホフジヒロビルディング,愛知県名古屋市瑞穂区瑞穂通１,地下鉄桜通線/桜山駅 歩3分,地下鉄鶴舞線/御器所駅 歩19分,地下鉄桜通線/瑞穂区役所駅 歩7分,築10年,7階建,4階,7.7万円,8000円,-,-,1LDK,39.79m2,https://suumo.jp/chintai/jnc_000088588437/?bc=100256939621,2024-02-19
8,賃貸マンション,地下鉄桜通線 桜山駅 7階建 築10年,愛知県名古屋市瑞穂区瑞穂通１,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩7分,地下鉄桜通線/瑞穂運動場西駅 歩17分,築10年,7階建,3階,7.6万円,8000円,-,-,1LDK,38.61m2,https://suumo.jp/chintai/jnc_000088412554/?bc=100365911829,2024-02-19
9,賃貸マンション,桜山ＦＯＲＴ,愛知県名古屋市瑞穂区駒場町２,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩10分,,築12年,9階建,8階,7.7万円,7000円,15.4万円,-,1LDK,38.24m2,https://suumo.jp/chintai/jnc_000058130583/?bc=100366682590,2024-02-19
10,賃貸マンション,地下鉄桜通線 桜山駅 7階建 築10年,愛知県名古屋市瑞穂区瑞穂通１,地下鉄桜通線/桜山駅 歩2分,地下鉄桜通線/瑞穂区役所駅 歩5分,地下鉄桜通線/瑞穂運動場西駅 歩15分,築10年,7階建,3階,7.6万円,8000円,-,-,1LDK,38.61m2,https://suumo.jp/chintai/jnc_000088251498/?bc=100366848719,2024-02-19
11,賃貸アパート,クレール・K・桜山,愛知県名古屋市瑞穂区駒場町４,地下鉄桜通線/桜山駅 歩6分,地下鉄桜通線/瑞穂区役所駅 歩11分,地下鉄鶴舞線/御器所駅 歩22分,築8年,2階建,1階,5.35万円,4000円,-,-,1K,20.13m2,https://suumo.jp/chintai/jnc_000088481531/?bc=100288189662,2024-02-19
12,賃貸アパート,クレール・K・桜山,愛知県名古屋市瑞穂区駒場町４,地下鉄桜通線/桜山駅 歩6分,地下鉄桜通線/瑞穂区役所駅 歩11分,地下鉄鶴舞線/御器所駅 歩22分,築8年,2階建,1階,5.35万円,4000円,-,5.35万円,1K,20.13m2,https://suumo.jp/chintai/jnc_000088370772/?bc=100365635202,2024-02-19
13,賃貸マンション,パルティール桜山,愛知県名古屋市瑞穂区桜見町２,地下鉄桜通線/桜山駅 歩1分,地下鉄桜通線/瑞穂区役所駅 歩10分,地下鉄鶴舞線/御器所駅 歩17分,築4年,11階建,2階,5.95万円,7000円,5.95万円,5.95万円,1K,24.07m2,https://suumo.jp/chintai/jnc_000070303333/?bc=100366765458,2024-02-19
14,賃貸マンション,パルティール桜山,愛知県名古屋市瑞穂区桜見町２,地下鉄桜通線/桜山駅 歩1分,地下鉄桜通線/瑞穂区役所駅 歩10分,地下鉄鶴舞線/御器所駅 歩17分,築4年,11階建,6階,6.15万円,7000円,-,6.15万円,1K,24.07m2,https://suumo.jp/chintai/jnc_000070303345/?bc=100365831794,2024-02-19
15,賃貸マンション,地下鉄桜通線 桜山駅 11階建 築4年,愛知県名古屋市瑞穂区桜見町２,地下鉄桜通線/桜山駅 歩2分,地下鉄桜通線/瑞穂区役所駅 歩9分,地下鉄鶴舞線/御器所駅 歩15分,築4年,11階建,2階,5.95万円,7000円,5.95万円,5.95万円,1K,24.07m2,https://suumo.jp/chintai/jnc_000070303350/?bc=100366667290,2024-02-19
16,賃貸マンション,地下鉄桜通線 桜山駅 11階建 築4年,愛知県名古屋市瑞穂区桜見町２,地下鉄桜通線/桜山駅 歩2分,地下鉄桜通線/瑞穂区役所駅 歩9分,地下鉄鶴舞線/御器所駅 歩15分,築4年,11階建,6階,6.15万円,7000円,-,6.15万円,1K,24.07m2,https://suumo.jp/chintai/jnc_000071444766/?bc=100365408867,2024-02-19
17,賃貸マンション,Blois アムール(ブロアアムール）,愛知県名古屋市瑞穂区洲雲町３,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄鶴舞線/御器所駅 歩15分,築19年,6階建,1階,4.4万円,6000円,-,-,1K,25.5m2,https://suumo.jp/chintai/jnc_000087948026/?bc=100362861141,2024-02-19
18,賃貸マンション,Blois アムール(ブロアアムール）,愛知県名古屋市瑞穂区洲雲町３,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄鶴舞線/御器所駅 歩15分,築19年,6階建,4階,4.4万円,6000円,-,-,1K,25.5m2,https://suumo.jp/chintai/jnc_000081868682/?bc=100366932468,2024-02-19
19,賃貸マンション,Blois アムール(ブロアアムール）,愛知県名古屋市瑞穂区洲雲町３,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄鶴舞線/御器所駅 歩15分,築19年,6階建,5階,4.4万円,6000円,-,-,1K,25.5m2,https://suumo.jp/chintai/jnc_000088588431/?bc=100367053175,2024-02-19
20,賃貸マンション,Blois アムール(ブロアアムール）,愛知県名古屋市瑞穂区洲雲町３,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩14分,地下鉄鶴舞線/御器所駅 歩15分,築19年,6階建,1階,4.4万円,6000円,-,-,1K,25.5m2,https://suumo.jp/chintai/jnc_000088405554/?bc=100366903718,2024-02-19
21,賃貸マンション,S-FORT桜山,愛知県名古屋市瑞穂区駒場町２,地下鉄桜通線/桜山駅 歩2分,地下鉄桜通線/瑞穂区役所駅 歩11分,地下鉄桜通線/御器所駅 歩16分,築18年,9階建,4階,6.2万円,6000円,-,-,ワンルーム,30.86m2,https://suumo.jp/chintai/jnc_000076951959/?bc=100349056872,2024-02-19
22,賃貸マンション,S-FORT桜山,愛知県名古屋市瑞穂区駒場町２,地下鉄桜通線/桜山駅 歩2分,地下鉄桜通線/瑞穂区役所駅 歩11分,地下鉄桜通線/御器所駅 歩16分,築18年,9階建,3階,6.7万円,6000円,-,-,ワンルーム,30.6m2,https://suumo.jp/chintai/jnc_000026611468/?bc=100362108250,2024-02-19
